"output_prefix","name","motif_id","cluster","total_tfbs","shCol7_mean_score","shCol7_bound","shC_mean_score","shC_bound","shCol7_shC_change","shCol7_shC_pvalue","shCol7_shC_highlighted","diffexpressed","labels"
"ZNF454_MA1712.1","ZNF454","MA1712.1","C_ZNF454",94511,0.1618,34563,0.15828,34203,0.10858,3.74553e-151,"False","UP","ZNF454"
"EGR1_MA0162.4","EGR1","MA0162.4","C_EGR1",85347,0.21753,37038,0.20934,37063,0.1081,3.30189e-149,"False","UP","EGR1"
"RFX7_MA1554.1","RFX7","MA1554.1","C_RFX7",14730,0.16281,5608,0.158,5474,0.10789,2.74475e-115,"False","UP","RFX7"
"ZNF263_MA0528.2","ZNF263","MA0528.2","C_ZNF263",138343,0.15867,48312,0.15447,47713,0.10777,7.43781e-158,"False","UP","ZNF263"
"CLOCK_MA0819.2","CLOCK","MA0819.2","C_MYC",22527,0.14224,7425,0.1399,7345,0.10714,8.70748e-128,"False","UP","CLOCK"
"EBF3_MA1637.1","EBF3","MA1637.1","C_EBF1",60172,0.13045,18030,0.1286,17775,0.10704,4.68218e-138,"False","UP","EBF3"
"ZNF76_MA1716.1","ZNF76","MA1716.1","C_ZNF76",49280,0.16921,16775,0.16508,16547,0.10702,3.26155e-140,"False","UP","ZNF76"
"TP63_MA0525.2","TP63","MA0525.2","C_TP73",28959,0.17018,12333,0.16655,12001,0.107,4.45511e-127,"False","UP","TP63"
"ZNF692_MA1986.1","ZNF692","MA1986.1","C_ZNF692",60655,0.13888,18369,0.13707,18191,0.10672,1.8793e-139,"False","UP","ZNF692"
"ZNF417_MA1727.1","ZNF417","MA1727.1","C_ZNF417",20593,0.1809,8586,0.17511,8537,0.10574,1.50166e-119,"False","UP","ZNF417"
"TFAP4ETV1_MA1966.1","TFAP4::ETV1","MA1966.1","C_ETV5::FIGLA",53550,0.16014,19313,0.15684,19079,0.10518,4.19184e-135,"False","UP","TFAP4::ETV1"
"MAXMYC_MA0059.1","MAX::MYC","MA0059.1","C_MAX::MYC",22465,0.15067,7720,0.14708,7595,0.10443,2.18997e-119,"False","UP","MAX::MYC"
"Gli1_MA1990.1","Gli1","MA1990.1","C_Gli2",57975,0.12119,15969,0.11997,16013,0.10291,6.45395e-137,"False","UP","Gli1"
"GCM2_MA0767.1","GCM2","MA0767.1","C_GCM2",17309,0.13429,5447,0.1326,5443,0.10213,7.66271e-114,"False","UP","GCM2"
"ZFP14_MA1972.1","ZFP14","MA1972.1","C_ZFP14",112914,0.14214,36843,0.13948,36424,0.10117,5.465e-153,"False","UP","ZFP14"
"Nfatc2_MA0152.2","Nfatc2","MA0152.2","C_Nfatc2",71265,0.10422,20870,0.10095,20218,0.10094,4.22031e-142,"False","UP","Nfatc2"
"ZNF410_MA0752.1","ZNF410","MA0752.1","C_ZNF410",28114,0.11115,8194,0.10886,7917,0.10086,2.54552e-122,"False","UP","ZNF410"
"ZNF574_MA1982.1","ZNF574","MA1982.1","C_ZNF574",49665,0.15521,17377,0.15241,17020,0.10015,3.02702e-134,"False","UP","ZNF574"
"MAFK_MA0496.3","MAFK","MA0496.3","C_MAFK",114752,0.18173,47401,0.19004,49560,-0.09991,5.34266e-159,"True","DOWN","MAFK"
"ZNF669_MA1985.1","ZNF669","MA1985.1","C_ZNF669",19347,0.16934,7229,0.16621,7142,0.09913,7.18319e-112,"False","UP","ZNF669"
"ZNF140_MA1589.1","ZNF140","MA1589.1","C_ZNF140",56343,0.1158,16256,0.11401,15829,0.0988,3.71648e-131,"False","UP","ZNF140"
"Plagl1_MA1615.1","Plagl1","MA1615.1","C_Plagl1",97777,0.13925,30226,0.13742,29959,0.09829,3.6573e-150,"False","UP","Plagl1"
"Ebf2_MA1604.1","Ebf2","MA1604.1","C_EBF1",61127,0.12927,18291,0.1278,18076,0.09795,5.61448e-138,"False","UP","Ebf2"
"Bach1Mafk_MA0591.1","Bach1::Mafk","MA0591.1","C_MAFG::NFE2L1",77177,0.20472,34921,0.21411,36353,-0.09741,5.02288e-142,"False","DOWN","Bach1::Mafk"
"TEAD2_MA1121.1","TEAD2","MA1121.1","C_TEAD4",64517,0.1401,22893,0.13802,22436,0.09695,1.78744e-138,"False","UP","TEAD2"
"TFAP2B_MA0812.1","TFAP2B","MA0812.1","C_TFAP2A",49400,0.17306,18702,0.16967,18513,0.09574,1.96442e-133,"False","UP","TFAP2B"
"MEIS2_MA1640.1","MEIS2","MA1640.1","C_MEIS2",47950,0.11186,14781,0.11581,15454,-0.09552,9.33028e-135,"False","DOWN","MEIS2"
"ELF1_MA0473.3","ELF1","MA0473.3","C_Erg",100099,0.15168,36545,0.14901,35980,0.09494,2.37334e-145,"False","UP","ELF1"
"TFEB_MA0692.1","TFEB","MA0692.1","C_BHLHE41",25334,0.16922,9570,0.16396,9421,0.09458,7.76153e-121,"False","UP","TFEB"
"Smad4_MA1153.1","Smad4","MA1153.1","C_Smad4",30978,0.12602,9404,0.12545,9422,0.09446,2.12764e-120,"False","UP","Smad4"
"HOXB2ELK1_MA1957.1","HOXB2::ELK1","MA1957.1","C_HOXB2::ELK1",18737,0.18284,7665,0.17743,7591,0.09377,9.62463e-114,"False","UP","HOXB2::ELK1"
"ZNF189_MA1725.1","ZNF189","MA1725.1","C_ZNF189",71751,0.12412,21682,0.12305,21464,0.09291,2.41076e-143,"False","UP","ZNF189"
"EWSR1-FLI1_MA0149.1","EWSR1-FLI1","MA0149.1","C_EWSR1-FLI1",138556,0.13349,44393,0.13101,43850,0.09283,1.66807e-155,"False","UP","EWSR1-FLI1"
"TCF12_MA1648.1","TCF12","MA1648.1","C_TCF3",79832,0.14834,26776,0.14672,26589,0.0925,3.04851e-147,"False","UP","TCF12"
"ZKSCAN5_MA1652.1","ZKSCAN5","MA1652.1","C_ZKSCAN5",122837,0.13646,38810,0.13472,38689,0.09225,6.18312e-153,"False","UP","ZKSCAN5"
"ZNF282_MA1154.1","ZNF282","MA1154.1","C_ZNF282",37410,0.13352,12000,0.13047,11786,0.09203,5.84333e-126,"False","UP","ZNF282"
"TCF3_MA0522.3","TCF3","MA0522.3","C_TCF3",69636,0.13461,21807,0.13392,21817,0.09087,4.0686e-134,"False","UP","TCF3"
